,id,fund_code,fund_name,company_id,fund_short_name,fund_legal_name,fund_pinyin,fund_risk_level,share_type,fund_type,type1_id,type2_id,type3_id,help_type4_id,is_money_fund,hf_incomeratio,income,incomeratio,incomeratio_t001,incomeratio_s010,netvalue,total_netvalue,navdate,fund_state,min_share,day_incratio,month_incratio,quarter_incratio,year_incratio,this_year_incratio,half_year_incratio,three_year_incratio,feerate1,sina_feerate1,feerate2,sina_feerate2,discountrate2,feerate3,sina_feerate3,dayinc,subscribe_state,declare_state,withdraw_state,valuagr_state,trend_state,hopedeclare_state,declareend_day,redeemend_day,open_day,is_forbidbuybyredeem,trans_flag,fundsub_type,subscribe_beigin,sina_subscribe_beigin,help_sina_subscribe_beigin,sina_subscribe_end,subscribe_end,zjzfe,fund_scale,fund_manager,u_time,c_time,to_this_day_incratio,l_day,forbidbonustype,status,qdii_confirm_day,ta_code,min_value1,min_value2,can_buy,type2_id_desc,jz_and_sy,min_value
496,1523,100039,富国通胀通缩主题股票,80000221,富国通胀通缩主题股票,富国通胀通缩主题轮动混合型证券投资基金,fgjjglyxgs,中高风险,A,U,x1001,x2001,x3006,,0,0.0,0.0,0.0,-0.0242,0.0,3.708,3.708,2020-11-11,0,0.01,-0.0242,0.0358,0.0674,0.7691,0.6178,0.3882,1.2459,0.0,0.0,0.015,0.0015,0.1,0.015,0.0015,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-01-01 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '曹晋', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30216083'}]",2020-11-12 15:30:31,2016-09-05 09:21:53,2.8710000000000004,2,0,1,0,10,1,1,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1.0
653,1762,1694,华安沪港深外延增长灵活配置混合,80000228,华安沪港深外延增长灵活配置混合,华安沪港深外延增长灵活配置混合型证券投资基金,hajjglyxgs,中高风险,A,A,x1001,x2001,x3006,h4002,0,0.0,0.0,0.0,-0.0212,0.0,3.6,3.6,2020-11-11,0,1.0,-0.0212,0.0017,0.0801,0.9088,0.757,0.5326,1.3606,0.0,0.0,0.015,0.0015,0.1,0.015,0.0015,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-12-01 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '崔莹', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30336376'}]",2020-11-12 15:32:44,2016-09-14 09:51:01,2.7841,2,0,1,0,04,10,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),10.0
671,1818,40020,华安升级主题股票,80000228,华安升级主题股票,华安升级主题混合型证券投资基金,hajjglyxgs,中高风险,A,A,x1001,x2001,x3006,h4002,0,0.0,0.0,0.0,-0.0073,0.0,2.582,2.582,2020-11-11,0,1.0,-0.0073,0.0885,0.132,0.7434,0.6976,0.6239,1.0395,0.0,0.0,0.015,0.0015,0.1,0.005,0.001,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-12-01 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '饶晓鹏', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30243160'}]",2020-11-12 15:21:27,2016-09-19 09:10:55,2.7461,2,0,1,0,4,10,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),10.0
699,1852,213001,宝盈鸿利收益混合,80000236,宝盈鸿利收益混合,宝盈鸿利收益灵活配置混合型证券投资基金,byjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0,0.0,0.0,-0.0262,0.0,2.1959999999999997,2.1959999999999997,2020-11-11,0,1.0,-0.0262,0.0041,-0.0236,0.7807,0.6088,0.2358,1.401,0.0,0.0,0.015,0.0015,0.1,0.015,0.0015,1.0,0,1,1,1,1,1,2020-11-11,2019-12-24,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2019-11-29 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '李进', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30136969'}]",2020-11-12 15:04:33,2016-09-21 09:10:40,10.8013,2,0,1,0,13,1000,1000,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1000.0
700,1854,2482,宝盈互联网混合,80000236,宝盈互联网混合,宝盈互联网沪港深灵活配置混合型证券投资基金,byjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0,0.0,0.0,-0.0424,0.0,2.687,2.687,2020-11-11,0,1.0,-0.0424,-0.0226,-0.0179,0.7818,0.555,0.305,1.0992,0.0,0.0,0.015,0.0015,0.1,0.015,0.0015,1.0,0,1,1,1,1,1,2020-11-11,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2019-09-08 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '张仲维', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30268408'}]",2020-11-12 15:36:57,2016-09-21 09:10:48,1.6869999999999998,2,0,1,0,13,1000,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1000.0
810,2007,2563,泓德泓汇混合,80500770,泓德泓汇混合,泓德泓汇灵活配置混合型证券投资基金,hongdjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0,0.0,0.0,-0.0134,0.0,2.4031,2.4031,2020-11-11,0,0.0,-0.0134,0.0385,0.0973,0.7683,0.6381,0.4169,1.1708,0.012,0.0012,0.015,0.0015,0.1,0.0,0.0,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,2016-10-26,2016-10-26 00:00:00,0000-00-00 00:00:00,2016-11-14 00:00:00,2016-11-14,99999999.9999,,"[{'name': '蔡丞丰', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30504700'}]",2020-11-12 15:33:29,2016-10-27 09:10:35,1.4031,2,0,1,0,4D,1000,1000,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1000.0
857,2056,2846,泓德泓华混合,80500770,泓德泓华混合,泓德泓华灵活配置混合型证券投资基金,hongdjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0,0.0,0.0,-0.0116,0.0,2.5408,2.5408,2020-11-11,0,0.0,-0.0116,0.0757,0.19399999999999998,0.9440000000000001,0.802,0.6361,1.4244,0.012,0.0012,0.015,0.0015,0.1,0.0075,0.001,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,2016-09-22,2016-09-22 00:00:00,0000-00-00 00:00:00,2016-12-01 00:00:00,2016-12-01,99999999.9999,,"[{'name': '秦毅', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30329785'}]",2020-11-12 15:42:14,2016-11-09 09:10:32,1.5408,2,0,1,0,4D,1000,1000,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1000.0
923,2137,2692,富国创新科技混合,80000221,富国创新科技混合,富国创新科技混合型证券投资基金,fgjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0,0.0,0.0,-0.035,0.0,2.427,2.427,2020-11-11,0,0.01,-0.035,0.0129,0.0079,0.76,0.5719,0.3041,1.0585,0.012,0.0012,0.015,0.0015,0.1,0.003,0.001,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-12-01 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '李元博', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30273328'}]",2020-11-12 15:38:34,2016-11-15 09:10:37,1.4269999999999998,2,0,1,0,10,1,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1.0
925,2139,2340,富国价值优势混合,80000221,富国价值优势混合,富国价值优势混合型证券投资基金,fgjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0,0.0,0.0,-0.0145,0.0,2.995,2.995,2020-11-11,0,0.01,-0.0145,0.0472,0.0628,0.8707,0.6998,0.5028,1.0857,0.012,0.0012,0.015,0.0015,0.1,0.0,0.0,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2020-07-13 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '孙彬', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30596348'}]",2020-11-12 15:31:39,2016-11-15 09:10:38,1.995,2,0,1,0,10,1,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1.0
926,2140,1985,富国低碳新经济混合,80000221,富国低碳新经济混合,富国低碳新经济混合型证券投资基金,fgjjglyxgs,中高风险,A,A,x1001,x2001,x3006,h4002,0,0.0,0.0,0.0,-0.0247,0.0,2.5660000000000003,2.5660000000000003,2020-11-11,0,0.01,-0.0247,-0.0085,-0.0472,0.7859999999999999,0.6595,0.4072,0.9968,0.012,0.0012,0.015,0.0015,0.1,0.0,0.0,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-01-01 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '杨栋', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30349149'}]",2020-11-12 15:38:44,2016-11-15 09:10:39,1.8594,2,0,1,0,10,1,1,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1.0
