name,url,avg_profit
曲扬,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30209121,72.44649999999999
李德辉,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30457109,71.97857142857143
张仲维,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30268408,71.97
张竞,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30532230,71.03333333333333
孙彬,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30596348,70.79749999999999
程洲,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30042300,69.99499999999999
曹晋,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30216083,69.55142857142857
王创练,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30054556,69.51833333333333
邬传雁,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30139986,69.21111111111112
郭睿,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30536253,67.8575
齐炜中,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30634322,67.36
郭相博,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30535697,66.46000000000001
刘盟盟,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30535696,66.46000000000001
葛晨,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30547489,66.4
莫海波,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30330797,66.22600000000001
梁浩,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30079581,65.33428571428571
廖瀚博,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30194214,64.84
吴昊,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30366076,64.30142857142857
陶曙斌,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30484400,63.36833333333333
范洁,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30512981,62.494285714285716
侯昊,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30510736,61.75
杨锐文,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30304337,61.261
王海青,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30072249,60.343333333333334
徐文卉,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30493894,59.7325
郑伟,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30239867,59.708000000000006
梁杏,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30419711,59.5625
郑磊,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30306412,59.26166666666666
黄安乐,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30139227,58.963750000000005
刘鹏,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30466596,58.625
葛兰,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30315582,58.43000000000001
王东杰,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30329944,57.997142857142855
王培,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30073914,57.81222222222223
许文星,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30548122,57.137142857142855
何杰,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30073201,55.29124999999999
袁维德,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30465762,55.18000000000001
屠环宇,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30649984,55.01
刘彬,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30181758,54.80400000000001
胡戈游,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30049770,54.691428571428574
过蓓蓓,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30347260,54.41357142857142
田彧龙,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30441743,54.41
郭锐,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30176884,54.36
杨金金,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30347811,54.28
茅炜,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30271746,52.35153846153845
栾超,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30364514,52.279999999999994
肖勇,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30343983,52.0875
王景,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30133443,51.77142857142858
钟赟,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30477859,51.68749999999999
甘传琦,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30497030,50.66833333333333
刘开运,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30332591,50.10625
李彦,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30663405,49.59
贾成东,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30251016,48.89727272727273
刘俊,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30057702,48.711
徐成城,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30475190,48.354
何以广,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30333328,47.92142857142858
林晶,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30474230,46.887499999999996
曾豪,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30363645,46.195
王卫林,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30630148,45.769999999999996
谢屹,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30312813,44.54222222222222
段涛,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30659469,43.81
谢玮,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30553951,43.806666666666665
文仲阳,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30137198,43.65
林材,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30184620,42.599000000000004
张弘,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30232790,42.475
孙琳,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30164232,42.41428571428571
闫冬,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30585899,42.294999999999995
董超,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30665811,41.95
张勋,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30272606,41.792500000000004
杨欢,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30136811,41.21333333333333
林乐峰,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30402495,39.867777777777775
曲径,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30332168,39.855000000000004
李倩,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30376975,39.70384615384615
邱璟旻,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30202201,39.086666666666666
沈雪峰,http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30037628,38.395833333333336
