,id,fund_code,fund_name,company_id,fund_short_name,fund_legal_name,fund_pinyin,fund_risk_level,share_type,fund_type,type1_id,type2_id,type3_id,help_type4_id,is_money_fund,hf_incomeratio,income,incomeratio,incomeratio_t001,incomeratio_s010,netvalue,total_netvalue,navdate,fund_state,min_share,day_incratio,month_incratio,quarter_incratio,year_incratio,this_year_incratio,half_year_incratio,three_year_incratio,feerate1,sina_feerate1,feerate2,sina_feerate2,discountrate2,feerate3,sina_feerate3,dayinc,subscribe_state,declare_state,withdraw_state,valuagr_state,trend_state,hopedeclare_state,declareend_day,redeemend_day,open_day,is_forbidbuybyredeem,trans_flag,fundsub_type,subscribe_beigin,sina_subscribe_beigin,help_sina_subscribe_beigin,sina_subscribe_end,subscribe_end,zjzfe,fund_scale,fund_manager,u_time,c_time,to_this_day_incratio,l_day,forbidbonustype,status,qdii_confirm_day,ta_code,min_value1,min_value2,can_buy,type2_id_desc,jz_and_sy,min_value
879,2078,3096,中欧医疗健康混合C,80065113,中欧医疗健康混合C,中欧医疗健康混合型证券投资基金,zojjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0,0.0,0.0,-0.0329,0.0,2.971,2.971,2020-11-11,0,0.01,-0.0329,-0.0007,-0.0394,0.6682,0.7144,0.3486,1.5314,0.0,0.0,0.0,0.0,0.0,0.015,0.0015,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-11-27 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '葛兰', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30315582'}]",2020-11-12 15:40:42,2016-11-14 09:40:38,2.1288,1,0,1,0,60,1,1,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1.0
1020,2273,519056,海富通内需热点混合,80000246,海富通内需热点混合,海富通内需热点混合型证券投资基金,hftjjglyxgs,中高风险,A,A,x1001,x2001,x3006,h4002,0,0.0,0.0,0.0,-0.0096,0.0,2.985,2.985,2020-11-11,0,1.0,-0.0096,-0.0119,-0.0073,0.5802,0.4697,0.3446,1.5275,0.012,0.0012,0.015,0.0015,0.1,0.0075,0.001,1.0,0,1,1,1,1,1,2020-11-12,0001-01-01,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2019-09-21 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '黄峰', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30044828'}]",2020-11-12 15:20:07,2016-12-09 09:21:21,1.985,2,0,1,0,99,100,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),100.0
888,2087,2770,安信新回报混合A,80163340,安信新回报混合A,安信新回报灵活配置混合型证券投资基金,axjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0,0.0,0.0,-0.0124,0.0,2.6785,2.6785,2020-11-11,0,1.0,-0.0124,0.0024,-0.0077,0.6225,0.556,0.2116,1.4745,0.008,0.001,0.008,0.001,0.1,0.015,0.0015,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-01-01 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '谭珏娜', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30109927'}, {'name': '陈鹏', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30040926'}]",2020-11-12 15:40:27,2016-11-14 09:40:38,1.8022,2,0,1,0,75,1,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1.0
348,1288,2669,华商万众创新混合,80053204,华商万众创新混合,华商万众创新灵活配置混合型证券投资基金,hsjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0,0.0,0.0,-0.0274,0.0,2.094,2.094,2020-11-11,0,1.0,-0.0274,0.0722,0.1228,1.1655,0.9943,0.5363,1.4723,0.012,0.0012,0.015,0.0015,0.1,0.015,0.0015,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2020-06-25 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '梁皓', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30130644'}]",2020-11-12 15:38:27,2016-08-03 08:50:18,1.094,2,0,1,0,63,1,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1.0
82,833,50026,博时医疗保健行业混合,80000226,博时医疗保健行业混合,博时医疗保健行业混合型证券投资基金,bsjjglyxgs,中高风险,A,A,x1001,x2001,x3006,h4002,0,0.0,0.0,0.0,-0.03,0.0,3.818,3.818,2020-11-11,0,1.0,-0.03,-0.0429,-0.0905,0.6521,0.6738,0.3035,1.4632,0.012,0.0012,0.015,0.0015,0.1,0.015,0.0015,1.0,0,1,1,1,1,1,2020-11-12,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2019-04-25 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '葛晨', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30547489'}]",2020-11-12 15:37:28,2016-04-07 15:10:03,3.2685,2,0,1,0,5,500,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),500.0
1503,2850,1856,易方达环保主题混合,80000229,易方达环保主题混合,易方达环保主题灵活配置混合型证券投资基金,yfdjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0,0.0,0.0,-0.0112,0.0,2.742,2.742,2020-11-11,0,0.0,-0.0112,0.0538,0.1565,1.0132,0.8147,0.6139,1.4548,0.012,0.0012,0.015,0.0015,0.1,0.015,0.0015,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,2017-04-28,2017-04-28 00:00:00,0000-00-00 00:00:00,2017-06-01 00:00:00,2017-06-01,99999999.9999,,"[{'name': '祁禾', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30500247'}]",2020-11-12 15:36:20,2017-05-04 09:21:22,1.742,2,0,1,0,11,1,1,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1.0
887,2086,2771,安信新回报混合C,80163340,安信新回报混合C,安信新回报灵活配置混合型证券投资基金,axjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0,0.0,0.0,-0.0123,0.0,2.6519,2.6519,2020-11-11,0,1.0,-0.0123,0.0022,-0.0082,0.6193,0.5534,0.2104,1.4548,0.0,0.0,0.0,0.0,0.0,0.015,0.0015,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2020-05-06 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '谭珏娜', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30109927'}, {'name': '陈鹏', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30040926'}]",2020-11-12 15:40:28,2016-11-14 09:40:38,1.7746,2,0,1,0,75,1,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1.0
1225,2559,160632,鹏华中证酒指数,80000230,鹏华中证酒指数,鹏华中证酒指数分级证券投资基金,phjjglyxgs,高风险,A,F,x1001,x2002,x3008,h4002,0,0.0,0.0,0.0,0.0029,0.0,1.3730000000000002,1.3730000000000002,2020-11-11,0,0.01,0.0029,0.1846,0.2892,0.8652,0.8071,0.7406,1.4533,0.01,0.001,0.012,0.0012,0.1,0.005,0.001,1.0,0,1,1,1,1,1,2020-11-12,0001-01-01,0000-00-00,1,1,1,2016-12-16,2016-12-16 00:00:00,0000-00-00 00:00:00,2016-12-16 00:00:00,2016-12-16,99999999.9999,,"[{'name': '闫冬', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30585899'}]",2020-11-12 15:09:34,2016-12-19 09:01:26,2.5604,2,0,1,0,98,1000,10,"{'show': '暂停购买', 'canbuy': None}",股票型,/(11-11),1000.0
1541,2895,2620,中邮新蓝筹混合,80075936,中邮新蓝筹混合,中邮未来新蓝筹灵活配置混合型证券投资基金,zycyjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0,0.0,0.0,-0.0182,0.0,2.539,2.539,2020-11-11,0,10.0,-0.0182,0.0071,0.0279,0.6759,0.4668,0.2746,1.4461,0.012,0.0012,0.015,0.0015,0.1,0.015,0.0015,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,2017-07-11,2017-07-11 00:00:00,0000-00-00 00:00:00,2017-08-02 00:00:00,2017-08-02,99999999.9999,,"[{'name': '杨欢', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30136811'}]",2020-11-12 15:35:07,2017-07-12 09:20:51,1.5390000000000001,2,0,1,0,59,1000,1000,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1000.0
2039,3457,2446,广发稳鑫保本混合,80000248,广发稳鑫保本混合,广发利鑫灵活配置混合型证券投资基金,gfjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0,0.0,0.0,-0.0088,0.0,2.583,2.583,2020-11-11,4,1.0,-0.0088,0.0349,0.0556,0.9778,0.8717,0.4922,1.4414,0.0,0.0,0.015,0.006,0.4,0.02,0.002,1.0,0,0,0,0,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-01-01 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '李巍', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30131310'}, {'name': '段涛', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30659469'}]",2020-11-12 15:36:46,2018-12-04 13:56:49,1.5830000000000002,2,0,1,0,27,0,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),0.01
