1,2, 393168
1,3, 1179360
1,4, 2751168
1,5, 5892480
1,6, 12165888
1,7, 24675840
1,8, 49548288
1,9, 98703360
1,10, 194654208
1,11, 377118720
1,12, 704299008
1,13, 207664633
1,14, 610416121
2,3, 5896800
2,4, 12969792
2,5, 27105408
2,6, 55335168
2,7, 111628800
2,8, 223552512
2,9, 444745728
2,10, 876515328
2,11, 697587193
2,12, 169861611
2,13, 434933213
2,14, 247167439
3,4, 35765184
3,5, 74245248
3,6, 151092480
3,7, 304335360
3,8, 609014784
3,9, 211148281
3,10, 386513906
3,11, 621639652
3,12, 629469128
3,13, 795440030
3,14, 728629627
4,5, 170881920
4,6, 347316480
4,7, 699148800
4,8, 398666233
4,9, 781112306
4,10, 479649245
4,11, 611302330
4,12, 812925307
4,13, 969438489
4,14, 295533765
5,6, 742119168
5,7, 493475833
5,8, 987332594
5,9, 939619805
5,10, 702489011
5,11, 661406566
5,12, 311958234
5,13, 543927816
5,14, 731331936
6,7, 84479979
6,8, 169347030
6,9, 265924524
6,10, 166453080
6,11, 797004478
6,12, 376084383
6,13, 806152685
6,14, 753923215
7,8, 535716780
7,9, 923178840
7,10, 103523497
7,11, 85895015
7,12, 537366825
7,13, 387225520
7,14, 874603245
8,9, 240009890
8,10, 982235474
8,11, 672523463
8,12, 876446781
8,13, 577682749
8,14, 153712034
9,10, 741944982
9,11, 850204032
9,12, 562864222
9,13, 972752983
9,14, 730803994
10,11, 207777003
10,12, 939827879
10,13, 769971332
10,14, 894425091
11,12, 695819570
11,13, 367946974
11,14, 226385870
12,13, 565667737
12,14, 892666738
13,14, 226408108
