id,fund_code,fund_name,company_id,fund_short_name,fund_legal_name,fund_pinyin,fund_risk_level,share_type,fund_type,type1_id,type2_id,type3_id,help_type4_id,is_money_fund,hf_incomeratio,income,incomeratio,incomeratio_t001,incomeratio_s010,netvalue,total_netvalue,navdate,fund_state,min_share,day_incratio,month_incratio,quarter_incratio,year_incratio,this_year_incratio,half_year_incratio,three_year_incratio,feerate1,sina_feerate1,feerate2,sina_feerate2,discountrate2,feerate3,sina_feerate3,dayinc,subscribe_state,declare_state,withdraw_state,valuagr_state,trend_state,hopedeclare_state,declareend_day,redeemend_day,open_day,is_forbidbuybyredeem,trans_flag,fundsub_type,subscribe_beigin,sina_subscribe_beigin,help_sina_subscribe_beigin,sina_subscribe_end,subscribe_end,zjzfe,fund_scale,fund_manager,u_time,c_time,to_this_day_incratio,l_day,forbidbonustype,status,qdii_confirm_day,ta_code,min_value1,min_value2,can_buy,type2_id_desc,jz_and_sy,min_value
2044,001548,天弘上证50指数A,80041198,天弘上证50指数A,天弘上证50指数型发起式证券投资基金,thjjglyxgs,高风险,A,F,x1001,x2002,x3008,h4002,0,0.0000,0.0000,0.0000,-0.0015,0.0000,1.4748,1.4748,2020-11-11,0,1.00,-0.0015,0.0365,0.0482,0.1999,0.1642,0.2284,0.3325,0.0000,0.0000,0.0100,0.0010,0.1000,0.0150,0.0015,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-12-01 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '陈瑶', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30540129'}]",2020-11-12 15:41:46,2016-10-28 09:10:53,0.4748,2,0,1,0,H0,2,2,"{'show': '暂停购买', 'canbuy': None}",股票型,/(11-11),2.00
1463,001546,博时裕盈纯债债券,80000226,博时裕盈纯债债券,博时裕盈纯债3个月定期开放债券型发起式证券投资基金,bsjjglyxgs,低风险,A,E,x1001,x2003,x3012,,0,0.0000,0.0000,0.0000,-0.0002,0.0000,1.0007,1.0007,2020-11-11,9,10.00,-0.0002,0.0042,0.0126,0.0589,0.0478,0.0137,0.1969,0.0000,0.0000,0.0080,0.0010,0.1000,0.0000,0.0000,1.0000,0,0,0,0,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-12-01 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '程卓', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30386071'}]",2020-11-12 15:41:45,2016-08-16 09:10:24,0.2629,2,0,1,0,05,0,10,"{'show': '暂停购买', 'canbuy': None}",债券型,/(11-11),0.01
1464,001545,博时裕嘉纯债债券,80000226,博时裕嘉纯债债券,博时裕嘉纯债3个月定期开放债券型发起式证券投资基金,bsjjglyxgs,低风险,A,E,x1001,x2003,x3012,,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0375,1.0375,2020-11-11,9,10.00,0.0000,0.0042,0.0042,0.0348,0.0241,-0.0072,0.1471,0.0000,0.0000,0.0080,0.0010,0.1000,0.0000,0.0000,1.0000,0,0,0,0,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-01-01 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '程卓', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30386071'}]",2020-11-12 15:41:44,2016-08-16 09:10:24,0.1911,2,0,1,0,05,0,10,"{'show': '暂停购买', 'canbuy': None}",债券型,/(11-11),0.01
1857,001543,宝盈新锐混合,80000236,宝盈新锐混合,宝盈新锐灵活配置混合型证券投资基金,byjjglyxgs,中高风险,A,A,x1001,x2001,x3006,h4002,0,0.0000,0.0000,0.0000,-0.0011,0.0000,2.8590,2.8590,2020-11-11,0,1.00,-0.0011,0.0597,0.0558,0.5761,0.5404,0.3885,1.0205,0.0000,0.0000,0.0150,0.0015,0.1000,0.0150,0.0015,1.0000,0,1,1,1,1,1,2020-11-11,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-01-01 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '肖肖', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30081543'}]",2020-11-12 15:41:43,2016-09-21 09:10:50,1.8590,2,0,1,0,13,1000,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1000.00
1158,001542,国泰互联网+股票,80000224,国泰互联网+股票,国泰互联网+股票型证券投资基金,gtjjglyxgs,高风险,A,U,x1001,x2002,x3007,,0,0.0000,0.0000,0.0000,-0.0219,0.0000,2.7690,2.7690,2020-11-11,0,0.00,-0.0219,-0.0100,0.0237,0.6269,0.6080,0.4149,0.4896,0.0120,0.0012,0.0150,0.0015,0.1000,0.0075,0.0010,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-12-01 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '彭凌志', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30370305'}]",2020-11-12 15:41:42,2016-05-06 08:40:10,2.0493,2,0,1,0,02,1,1,"{'show': '暂停购买', 'canbuy': None}",股票型,/(11-11),1.00
1369,001541,汇添富民营新动力股票,80053708,汇添富民营新动力股票,汇添富民营新动力股票型证券投资基金,htfjjglgfyxgs,高风险,A,U,x1001,x2002,x3007,,0,0.0000,0.0000,0.0000,-0.0245,0.0000,1.5560,1.5560,2020-11-11,0,1.00,-0.0245,-0.0317,-0.0146,0.6025,0.4275,0.3198,0.4197,0.0120,0.0012,0.0150,0.0015,0.1000,0.0150,0.0015,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2019-09-06 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '谭志强', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30340075'}]",2020-11-12 15:32:42,2016-08-11 09:10:24,0.5560,1,0,1,0,47,10,10,"{'show': '暂停购买', 'canbuy': None}",股票型,/(11-11),10.00
3631,001539,嘉实中证金融地产ETF联接A	,80000223,嘉实中证金融地产ETF联接A	,嘉实中证金融地产交易型开放式指数证券投资基金联接基金,jsjjglyxgs,高风险,A,S,x1001,x2002,x3008,,0,0.0000,0.0000,0.0000,-0.0021,0.0000,1.4037,1.4037,2020-11-11,0,1.00,-0.0021,0.0308,0.0331,0.0732,0.0303,0.1495,0.1023,0.0000,0.0000,0.0120,0.0012,0.0000,0.0150,0.0015,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2020-07-14 00:00:00,2020-11-13 00:00:00,2020-11-13,55177800.0000,,"[{'name': '刘珈吟', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30401026'}, {'name': '李直', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30530911'}]",2020-11-12 15:07:14,2019-01-04 09:16:06,0.4037,2,0,1,0,07,0,10,"{'show': '暂停购买', 'canbuy': None}",股票型,/(11-11),0.01
2411,001538,上投科技前沿混合,80050229,上投科技前沿混合,上投摩根科技前沿灵活配置混合型证券投资基金,stmgjjglyxgs,中高风险,A,A,x1001,x2001,x3006,h4002,0,0.0000,0.0000,0.0000,-0.0188,0.0000,2.5821,2.5821,2020-11-11,0,10.00,-0.0188,0.0044,0.0647,0.8779,0.7577,0.4696,1.1287,0.0120,0.0012,0.0150,0.0015,0.1000,0.0150,0.0015,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2020-05-22 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '李德辉', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30457109'}]",2020-11-12 15:31:27,2016-12-16 09:21:09,1.5821,2,0,1,0,37,10,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),10.00
1064,001537,中加改革红利灵活配置混合,80372525,中加改革红利灵活配置混合,中加改革红利灵活配置混合型证券投资基金,zjjjglyxgs,中高风险,A,A,x1001,x2001,x3006,h4002,0,0.0000,0.0000,0.0000,-0.0271,0.0000,1.2888,1.2888,2020-11-11,0,10.00,-0.0271,-0.0166,0.0145,0.3581,0.2695,0.2282,0.1604,0.0120,0.0012,0.0150,0.0015,0.1000,0.0150,0.0015,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-12-01 00:00:00,2020-11-13 00:00:00,2020-11-13,52537300.0000,,"[{'name': '王梁', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30561834'}, {'name': '冯汉杰', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30574654'}]",2020-11-12 15:31:25,2016-04-07 15:10:08,0.3619,2,0,1,0,0D,10,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),10.00
1063,001536,南方君选混合,80000220,南方君选混合,南方君选灵活配置混合型证券投资基金,nfjjglgfyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0000,0.0000,0.0000,-0.0084,0.0000,1.4210,1.4210,2020-11-11,0,0.00,-0.0084,0.0286,0.0651,0.3922,0.3197,0.3162,0.4362,0.0120,0.0012,0.0150,0.0015,0.1000,0.0075,0.0010,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,2015-01-08,2015-01-08 00:00:00,0000-00-00 00:00:00,2015-02-02 00:00:00,2015-02-02,99999999.9999,,"[{'name': '卢玉珊', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30380008'}]",2020-11-12 15:31:24,2016-04-07 15:10:08,0.8227,2,0,1,0,01,10,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),10.00
1062,001535,景顺长城改革机遇混合A,80000251,景顺长城改革机遇混合A,景顺长城改革机遇灵活配置混合型证券投资基金,jsccjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0000,0.0000,0.0000,-0.0077,0.0000,1.4230,1.4230,2020-11-11,0,1.00,-0.0077,0.0846,0.1040,0.3299,0.3274,0.3164,0.2342,0.0120,0.0012,0.0150,0.0015,0.1000,0.0050,0.0010,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-12-01 00:00:00,2020-11-13 00:00:00,2020-11-13,14777000.0000,,"[{'name': '邓敬东', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30130646'}]",2020-11-12 15:31:23,2016-04-07 15:10:08,0.4230,2,0,1,0,26,1,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1.00
