id,fund_code,fund_name,company_id,fund_short_name,fund_legal_name,fund_pinyin,fund_risk_level,share_type,fund_type,type1_id,type2_id,type3_id,help_type4_id,is_money_fund,hf_incomeratio,income,incomeratio,incomeratio_t001,incomeratio_s010,netvalue,total_netvalue,navdate,fund_state,min_share,day_incratio,month_incratio,quarter_incratio,year_incratio,this_year_incratio,half_year_incratio,three_year_incratio,feerate1,sina_feerate1,feerate2,sina_feerate2,discountrate2,feerate3,sina_feerate3,dayinc,subscribe_state,declare_state,withdraw_state,valuagr_state,trend_state,hopedeclare_state,declareend_day,redeemend_day,open_day,is_forbidbuybyredeem,trans_flag,fundsub_type,subscribe_beigin,sina_subscribe_beigin,help_sina_subscribe_beigin,sina_subscribe_end,subscribe_end,zjzfe,fund_scale,fund_manager,u_time,c_time,to_this_day_incratio,l_day,forbidbonustype,status,qdii_confirm_day,ta_code,min_value1,min_value2,can_buy,type2_id_desc,jz_and_sy,min_value
4823,850599,海通核心优势一年期C,0,海通核心优势一年期C,海通核心优势一年持有期混合型集合资产管理计划,shhtzqzcglyxgs,中低风险,A,A, , , ,h4002,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0000-00-00,0,1.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,1,1,1,1,1,2020-11-12,0001-01-01,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2020-05-11 00:00:00,2020-11-13 00:00:00,2020-11-13,0.0000,,,2020-11-12 15:08:48,2020-05-06 09:58:59,0.0000,2,0,1,0,99,0,1,"{'show': '暂停购买', 'canbuy': '0'}",,/(11-30),0.01
4822,850588,海通核心优势一年期A,0,海通核心优势一年期A,海通核心优势一年持有期混合型集合资产管理计划,shhtzqzcglyxgs,中低风险,A,A, , , ,,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0000-00-00,0,1.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,0.0015,0.0000,0.0000,0.0000,1.0000,0,1,1,1,1,1,2020-11-12,0001-01-01,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-01-01 00:00:00,2020-11-13 00:00:00,2020-11-13,0.0000,,,2020-11-12 15:08:47,2020-05-06 09:58:59,0.0000,2,0,1,0,99,0,1,"{'show': '暂停购买', 'canbuy': None}",,/(11-30),0.01
1481,770001,德邦优化灵活配置混合,80175511,德邦优化灵活配置混合,德邦优化灵活配置混合型证券投资基金,dbjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0000,0.0000,0.0000,-0.0095,0.0000,1.5136,1.5136,2020-11-11,0,100.00,-0.0095,0.0224,0.0473,0.4391,0.3928,0.3637,0.5847,0.0120,0.0012,0.0150,0.0015,0.1000,0.0150,0.0015,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-01-01 00:00:00,2020-11-12 00:00:00,2020-11-12,99999999.9999,,"[{'name': '房建威', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30558371'}, {'name': '汪晖', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30037948'}]",2020-11-12 14:59:24,2016-08-31 09:10:28,1.7881,2,0,1,0,77,100,100,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),100.00
1507,762001,国金国鑫发起,80102419,国金国鑫发起,国金国鑫灵活配置混合型发起式证券投资基金,gjjjglyxgs,中高风险,A,A,x1001,x2001,x3006,h4002,0,0.0000,0.0000,0.0000,-0.0136,0.0000,2.1957,2.1957,2020-11-11,0,0.00,-0.0136,0.0437,0.0841,0.4145,0.3704,0.2638,0.3748,0.0120,0.0012,0.0150,0.0015,0.1000,0.0050,0.0010,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-12-01 00:00:00,2020-11-12 00:00:00,2020-11-12,99999999.9999,,"[{'name': '张航', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30589776'}]",2020-11-12 14:59:23,2016-09-01 09:40:29,3.5708,2,0,1,0,76,1,1,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1.00
2058,750007,安信现金管理货币B,80163340,安信现金管理货币B,安信现金管理货币市场基金,axjjglyxgs,低风险,A,2,x1001,x2005,x3020,,0,0.5511,0.0000,0.0207,0.0000,0.0207,0.5511,0.5511,2020-11-11,0,0.00,0.0000,0.0017,0.0049,0.0208,0.0170,0.0088,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,0,1,-0001-11-30,0000-00-00 00:00:00,2018-01-01 00:00:00,2020-11-12 00:00:00,2020-11-12,99999999.9999,,"[{'name': '肖芳芳', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30139111'}, {'name': '任凭', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30561552'}]",2020-11-12 14:59:22,2016-11-14 09:40:33,0.0170,0,1,1,0,75,0,5000000,"{'show': '暂停购买', 'canbuy': None}",货币型,/(11-11),0.01
2059,750006,安信现金管理货币A,80163340,安信现金管理货币A,安信现金管理货币市场基金,axjjglyxgs,低风险,A,2,x1001,x2005,x3019,,0,0.4850,0.0000,0.0183,0.0000,0.0183,0.4850,0.4850,2020-11-11,0,0.00,0.0000,0.0015,0.0043,0.0183,0.0149,0.0076,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,0,1,-0001-11-30,0000-00-00 00:00:00,2018-12-01 00:00:00,2020-11-13 00:00:00,2020-11-13,46079700.0000,,"[{'name': '肖芳芳', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30139111'}, {'name': '任凭', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30561552'}]",2020-11-12 15:22:08,2016-11-14 09:40:33,0.0149,0,1,1,0,75,0,10,"{'show': '暂停购买', 'canbuy': None}",货币型,/(11-11),0.01
2060,750005,安信平稳增长混合,80163340,安信平稳增长混合,安信平稳增长混合型发起式证券投资基金,axjjglyxgs,中高风险,A,A,x1001,x2001,x3006,h4002,0,0.0000,0.0000,0.0000,0.0001,0.0000,1.3813,1.3813,2020-11-11,0,1.00,0.0001,0.0126,0.0071,0.0828,0.0667,0.0465,0.1908,0.0120,0.0012,0.0150,0.0015,0.1000,0.0150,0.0015,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-01-01 00:00:00,2020-11-13 00:00:00,2020-11-13,13761800.0000,,"[{'name': '庄园', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30224839'}, {'name': '张明', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30492889'}]",2020-11-12 15:22:07,2016-11-14 09:40:33,0.9770,2,0,1,0,75,1,1,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1.00
2061,750003,安信目标收益债券C,80163340,安信目标收益债券C,安信目标收益债券型证券投资基金,axjjglyxgs,低风险,A,E,x1001,x2003,x3012,,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0860,1.0860,2020-11-11,0,1.00,0.0000,0.0046,0.0056,0.0380,0.0216,-0.0100,0.1453,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,0.0015,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-01-01 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '张翼飞', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30242199'}, {'name': '李君', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30531101'}]",2020-11-12 15:22:06,2016-11-14 09:40:33,0.5263,2,0,1,0,75,1,1,"{'show': '暂停购买', 'canbuy': None}",债券型,/(11-11),1.00
2062,750002,安信目标收益债券A,80163340,安信目标收益债券A,安信目标收益债券型证券投资基金,axjjglyxgs,低风险,A,E,x1001,x2003,x3012,,0,0.0000,0.0000,0.0000,-0.0009,0.0000,1.1000,1.1000,2020-11-11,0,1.00,-0.0009,0.0046,0.0064,0.0415,0.0242,-0.0090,0.1590,0.0060,0.0010,0.0080,0.0010,0.1000,0.0005,0.0010,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-01-01 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '张翼飞', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30242199'}, {'name': '李君', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30531101'}]",2020-11-12 15:22:05,2016-11-14 09:40:33,0.5804,2,0,1,0,75,1,1,"{'show': '暂停购买', 'canbuy': None}",债券型,/(11-11),1.00
2063,750001,安信灵活配置混合,80163340,安信灵活配置混合,安信策略精选灵活配置混合型证券投资基金,axjjglyxgs,中高风险,A,A,x1001,x2001,x3006,h4002,0,0.0000,0.0000,0.0000,-0.0116,0.0000,2.2250,2.2250,2020-11-11,0,1.00,-0.0116,0.1048,0.0988,0.7195,0.5961,0.4696,0.8557,0.0120,0.0012,0.0150,0.0015,0.1000,0.0025,0.0010,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-01-01 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '张竞', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30532230'}]",2020-11-12 15:22:04,2016-11-14 09:40:33,2.5829,2,0,1,0,75,1,1,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1.00
