id,fund_code,fund_name,company_id,fund_short_name,fund_legal_name,fund_pinyin,fund_risk_level,share_type,fund_type,type1_id,type2_id,type3_id,help_type4_id,is_money_fund,hf_incomeratio,income,incomeratio,incomeratio_t001,incomeratio_s010,netvalue,total_netvalue,navdate,fund_state,min_share,day_incratio,month_incratio,quarter_incratio,year_incratio,this_year_incratio,half_year_incratio,three_year_incratio,feerate1,sina_feerate1,feerate2,sina_feerate2,discountrate2,feerate3,sina_feerate3,dayinc,subscribe_state,declare_state,withdraw_state,valuagr_state,trend_state,hopedeclare_state,declareend_day,redeemend_day,open_day,is_forbidbuybyredeem,trans_flag,fundsub_type,subscribe_beigin,sina_subscribe_beigin,help_sina_subscribe_beigin,sina_subscribe_end,subscribe_end,zjzfe,fund_scale,fund_manager,u_time,c_time,to_this_day_incratio,l_day,forbidbonustype,status,qdii_confirm_day,ta_code,min_value1,min_value2,can_buy,type2_id_desc,jz_and_sy,min_value
2422,001998,工银新焦点灵活配置混合C,80064225,工银新焦点灵活配置混合C,工银瑞信新焦点灵活配置混合型证券投资基金,gyrxjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0000,0.0000,0.0000,-0.0193,0.0000,2.0290,2.0290,2020-11-11,0,10.00,-0.0193,0.0421,0.1015,0.7476,0.6496,0.4390,0.9087,0.0000,0.0000,0.0000,0.0000,0.0000,0.0050,0.0010,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-01-01 00:00:00,2020-11-13 00:00:00,2020-11-13,26398400.0000,,"[{'name': '李昱', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30536754'}]",2020-11-12 15:38:51,2016-12-16 09:21:10,1.0290,2,0,1,0,48,10,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),10.00
4170,001997,工银新趋势灵活配置混合C,80064225,工银新趋势灵活配置混合C,工银瑞信新趋势灵活配置混合型证券投资基金,gyrxjjglyxgs,中高风险,A,A,x1001,x2001,x3006,h4002,0,0.0000,0.0000,0.0000,-0.0288,0.0000,2.4290,2.4290,2020-11-11,0,10.00,-0.0288,0.0547,0.1178,1.0225,0.8829,0.5501,1.1307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,0.0015,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-01-01 00:00:00,2020-11-13 00:00:00,2020-11-13,29208800.0000,,"[{'name': '何肖颉', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30038667'}]",2020-11-12 15:36:35,2019-07-24 08:24:42,1.4290,2,0,1,0,48,0,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),0.01
1837,001994,华安年年红债券C,80000228,华安年年红债券C,华安年年红定期开放债券型证券投资基金,hajjglyxgs,中低风险,A,E,x1001,x2003,x3003,,0,0.0000,0.0000,0.0000,0.0010,0.0000,1.0390,1.0390,2020-11-06,4,1.00,0.0010,0.0038,0.0048,0.0826,0.0692,0.0029,0.2142,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,0,0,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-01-01 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '周益鸣', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30554104'}]",2020-11-12 15:38:50,2016-09-19 09:10:57,0.2636,2,0,1,0,04,10,10,"{'show': '暂停购买', 'canbuy': None}",债券型,/(11-06),10.00
2320,001992,农银天天利货币B,80092233,农银天天利货币B,农银汇理天天利货币市场基金,nyhljjglyxgs,低风险,A,2,x1001,x2005,x3020,,0,0.5932,0.0000,0.0219,0.0000,0.0219,0.5932,0.5932,2020-11-11,0,0.00,0.0000,0.0019,0.0049,0.0215,0.0177,0.0088,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,0,1,-0001-11-30,0000-00-00 00:00:00,2018-01-01 00:00:00,2020-11-13 00:00:00,2020-11-13,8947620.0000,,"[{'name': '史向明', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30040363'}, {'name': '黄晓鹏', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30442715'}]",2020-11-12 15:38:49,2016-12-15 09:50:52,0.0177,0,1,1,0,66,0,5000000,"{'show': '暂停购买', 'canbuy': None}",货币型,/(11-11),0.01
2319,001991,农银天天利货币A,80092233,农银天天利货币A,农银汇理天天利货币市场基金,nyhljjglyxgs,低风险,A,2,x1001,x2005,x3019,,0,0.5270,0.0000,0.0195,0.0000,0.0195,0.5270,0.5270,2020-11-11,0,0.00,0.0000,0.0017,0.0043,0.0191,0.0155,0.0076,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,0,1,-0001-11-30,0000-00-00 00:00:00,2018-12-01 00:00:00,2020-11-13 00:00:00,2020-11-13,77647200.0000,,"[{'name': '史向明', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30040363'}, {'name': '黄晓鹏', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30442715'}]",2020-11-12 15:38:48,2016-12-15 09:50:52,0.0155,0,1,1,0,66,0,0,"{'show': '暂停购买', 'canbuy': None}",货币型,/(11-11),0.01
2095,001990,中欧数据挖掘混合,80065113,中欧数据挖掘混合,中欧数据挖掘多因子灵活配置混合型证券投资基金,zojjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0000,0.0000,0.0000,-0.0160,0.0000,1.8423,1.8423,2020-11-11,0,1.00,-0.0160,0.0117,0.0109,0.6499,0.4926,0.3071,0.7937,0.0120,0.0012,0.0150,0.0015,0.1000,0.0150,0.0015,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-01-01 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '曲径', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30332168'}]",2020-11-12 15:38:46,2016-11-14 09:40:40,1.0015,1,0,1,0,60,10,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),10.00
1080,001986,前海开源人工智能主题混合,80280038,前海开源人工智能主题混合,前海开源人工智能主题灵活配置混合型证券投资基金,qhkyjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0000,0.0000,0.0000,-0.0301,0.0000,1.9660,1.9660,2020-11-11,0,0.00,-0.0301,0.0072,0.0598,0.6452,0.5578,0.4639,0.3124,0.0120,0.0012,0.0150,0.0015,0.1000,0.0000,0.0000,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,2016-04-04,2016-04-04 00:00:00,0000-00-00 00:00:00,2016-05-03 00:00:00,2016-05-03,99999999.9999,,"[{'name': '曲扬', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30209121'}]",2020-11-12 15:38:45,2016-04-07 15:10:09,0.9660,2,0,1,0,44,10,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),10.00
2140,001985,富国低碳新经济混合,80000221,富国低碳新经济混合,富国低碳新经济混合型证券投资基金,fgjjglyxgs,中高风险,A,A,x1001,x2001,x3006,h4002,0,0.0000,0.0000,0.0000,-0.0247,0.0000,2.5660,2.5660,2020-11-11,0,0.01,-0.0247,-0.0085,-0.0472,0.7860,0.6595,0.4072,0.9968,0.0120,0.0012,0.0150,0.0015,0.1000,0.0000,0.0000,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-01-01 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '杨栋', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30349149'}]",2020-11-12 15:38:44,2016-11-15 09:10:39,1.8594,2,0,1,0,10,1,1,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1.00
2421,001984,上投生物医药（QDII）,80050229,上投生物医药（QDII）,上投摩根中国生物医药混合型证券投资基金(QDII),stmgjjglyxgs,中等风险,A,5,x1001,x2001,x3004,,0,0.0000,0.0000,0.0000,-0.0184,0.0000,2.1509,2.1509,2020-11-10,0,10.00,-0.0184,-0.0068,-0.0287,0.5352,0.5489,0.1389,0.4594,0.0120,0.0012,0.0150,0.0015,0.1000,0.0075,0.0010,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-12-01 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '方钰涵', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30560767'}]",2020-11-12 15:38:43,2016-12-16 09:21:10,0.8724,5,0,1,1,37,10,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-10),10.00
1431,001983,中邮低碳经济混合,80075936,中邮低碳经济混合,中邮低碳经济灵活配置混合型证券投资基金,zycyjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0000,0.0000,0.0000,-0.0316,0.0000,1.1950,1.1950,2020-11-11,0,10.00,-0.0316,0.0482,0.0603,0.5933,0.4485,0.2740,0.4919,0.0000,0.0000,0.0150,0.0015,0.1000,0.0150,0.0015,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-01-01 00:00:00,2020-11-13 00:00:00,2020-11-13,70888700.0000,,"[{'name': '吴尚', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30545510'}]",2020-11-12 15:38:42,2016-08-15 09:30:24,0.1950,2,0,1,0,59,1000,1000,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1000.00
