id,fund_code,fund_name,company_id,fund_short_name,fund_legal_name,fund_pinyin,fund_risk_level,share_type,fund_type,type1_id,type2_id,type3_id,help_type4_id,is_money_fund,hf_incomeratio,income,incomeratio,incomeratio_t001,incomeratio_s010,netvalue,total_netvalue,navdate,fund_state,min_share,day_incratio,month_incratio,quarter_incratio,year_incratio,this_year_incratio,half_year_incratio,three_year_incratio,feerate1,sina_feerate1,feerate2,sina_feerate2,discountrate2,feerate3,sina_feerate3,dayinc,subscribe_state,declare_state,withdraw_state,valuagr_state,trend_state,hopedeclare_state,declareend_day,redeemend_day,open_day,is_forbidbuybyredeem,trans_flag,fundsub_type,subscribe_beigin,sina_subscribe_beigin,help_sina_subscribe_beigin,sina_subscribe_end,subscribe_end,zjzfe,fund_scale,fund_manager,u_time,c_time,to_this_day_incratio,l_day,forbidbonustype,status,qdii_confirm_day,ta_code,min_value1,min_value2,can_buy,type2_id_desc,jz_and_sy,min_value
2054,003586,先锋精一混合A,80540277,先锋精一混合A,先锋精一灵活配置混合型发起式证券投资基金,xfjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0000,0.0000,0.0000,-0.0087,0.0000,1.0230,1.0230,2020-11-11,0,100.00,-0.0087,0.0635,-0.0041,0.2364,0.2034,0.2526,-0.0755,0.0120,0.0012,0.0150,0.0015,0.1000,0.0150,0.0015,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,2016-11-04,2016-11-04 00:00:00,0000-00-00 00:00:00,2016-12-08 00:00:00,2016-12-08,553634.0000,,"[{'name': '杨帅', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30547847'}]",2020-11-12 15:35:35,2016-11-07 11:00:47,0.0229,2,0,1,0,4X,100,100,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),100.00
2055,003585,先锋现金宝,80540277,先锋现金宝,先锋现金宝货币市场基金,xfjjglyxgs,低风险,A,2,x1001,x2005,x3019,,0,0.3664,0.0000,0.0157,0.0000,0.0157,0.3664,0.3664,2020-11-11,0,0.00,0.0000,0.0013,0.0036,0.0140,0.0125,0.0069,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,0,1,2016-11-04,2016-11-04 00:00:00,0000-00-00 00:00:00,2016-12-08 00:00:00,2016-12-08,6308590.0000,,"[{'name': '杜旭', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30636258'}]",2020-11-12 15:35:34,2016-11-07 11:00:47,0.0125,0,1,1,0,4X,10,10,"{'show': '暂停购买', 'canbuy': None}",货币型,/(11-11),10.00
4077,003581,新疆联合国民健康混合A,80516201,新疆联合国民健康混合A,新疆前海联合国民健康产业灵活配置混合型证券投资基金,xjqhlhjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0000,0.0000,0.0000,-0.0236,0.0000,1.9060,1.9060,2020-11-11,0,0.00,-0.0236,-0.0379,-0.0517,0.6793,0.6823,0.3091,0.7406,0.0000,0.0000,0.0150,0.0015,0.0000,0.0150,0.0015,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2020-04-13 00:00:00,2020-11-13 00:00:00,2020-11-13,47803900.0000,,"[{'name': '林材', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30184620'}]",2020-11-12 15:35:16,2019-07-03 14:24:52,0.9060,2,0,1,0,4M,0,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),0.01
4780,003580,泰康沪港深价值优选混合,80061674,泰康沪港深价值优选混合,泰康沪港深价值优选灵活配置混合型证券投资基金,tkzcglyxzrgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0000,0.0000,0.0000,-0.0343,0.0000,1.6085,1.6085,2020-11-11,0,1000.00,-0.0343,-0.0317,-0.0179,0.3228,0.2693,0.2119,0.3011,0.0000,0.0000,0.0150,0.0015,0.0000,0.0150,0.0015,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,2020-04-24,1,1,1,2020-04-24,2020-04-24 00:00:00,0000-00-00 00:00:00,2020-11-13 00:00:00,2020-11-13,81633500.0000,,"[{'name': '刘伟', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30492893'}, {'name': '黄成扬', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30343232'}]",2020-11-12 15:33:51,2020-04-27 11:32:46,0.6085,3,0,1,0,4C,0,1000,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),0.01
2655,003567,华夏行业景气混合,80000222,华夏行业景气混合,华夏行业景气混合型证券投资基金,hxjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0000,0.0000,0.0000,-0.0168,0.0000,1.8540,1.8540,2020-11-11,0,1.00,-0.0168,0.0063,0.0229,0.5015,0.4608,0.3184,0.6388,0.0120,0.0012,0.0150,0.0015,0.1000,0.0150,0.0015,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,2016-12-28,2016-12-28 00:00:00,0000-00-00 00:00:00,2017-01-26 00:00:00,2017-01-26,35321700.0000,,"[{'name': '王劲松', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30040401'}, {'name': '钟帅', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30496592'}]",2020-11-12 15:35:33,2016-12-29 09:01:16,0.8540,2,0,1,0,03,1000,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1000.00
2006,003566,博时臻选纯债债券,80000226,博时臻选纯债债券,博时臻选纯债债券型证券投资基金,bsjjglyxgs,低风险,A,E,x1001,x2003,x3012,,0,0.0000,0.0000,0.0000,-0.0001,0.0000,1.0441,1.0441,2020-11-11,0,10.00,-0.0001,0.0024,0.0039,0.0336,0.0260,-0.0072,0.1295,0.0060,0.0010,0.0080,0.0010,0.1000,0.0150,0.0015,1.0000,0,1,1,1,1,1,2020-11-12,0000-00-00,0000-00-00,1,1,1,2016-10-26,2016-10-26 00:00:00,0000-00-00 00:00:00,2016-11-08 00:00:00,2016-11-08,99999999.9999,,"[{'name': '程卓', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30386071'}]",2020-11-12 15:35:32,2016-10-27 09:10:33,0.1443,2,0,1,0,05,10,10,"{'show': '暂停购买', 'canbuy': None}",债券型,/(11-11),10.00
2065,003556,华泰柏瑞睿利混合C,80055334,华泰柏瑞睿利混合C,华泰柏瑞睿利灵活配置混合型证券投资基金,htbrjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0000,0.0000,0.0000,0.0007,0.0000,0.9485,0.9485,2019-03-26,4,1.00,0.0007,-0.0011,-0.0085,-0.0772,-0.0092,-0.0518,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,0.0015,1.0000,0,0,0,0,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,2016-11-11,2016-11-11 00:00:00,0000-00-00 00:00:00,2016-11-21 00:00:00,2016-11-21,48708.9000,,,2020-11-12 15:35:31,2016-11-14 09:40:37,-0.0515,1,0,1,0,46,0,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(03-26),0.01
2066,003555,华泰柏瑞睿利混合A,80055334,华泰柏瑞睿利混合A,华泰柏瑞睿利灵活配置混合型证券投资基金,htbrjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0000,0.0000,0.0000,0.0007,0.0000,0.9531,0.9531,2019-03-26,4,1.00,0.0007,-0.0009,-0.0088,-0.0763,-0.0095,-0.0516,0.0000,0.0120,0.0012,0.0150,0.0015,0.1000,0.0050,0.0010,1.0000,0,0,0,0,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,2016-11-11,2016-11-11 00:00:00,0000-00-00 00:00:00,2016-11-21 00:00:00,2016-11-21,7303490.0000,,,2020-11-12 15:35:30,2016-11-14 09:40:37,-0.0469,1,0,1,0,46,0,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(03-26),0.01
3942,003549,浙商惠裕纯债,80156777,浙商惠裕纯债,浙商惠裕纯债债券型证券投资基金,zsjjglyxgs,低风险,A,1,x1001,x2003,x3012,,0,0.0000,0.0000,0.0000,-0.0003,0.0000,1.0849,1.0849,2020-11-11,0,1.00,-0.0003,0.0047,0.0099,0.0340,0.0258,0.0044,0.1544,0.0000,0.0000,0.0080,0.0010,0.0000,0.0150,0.0015,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,2016-11-03,2016-11-03 00:00:00,0000-00-00 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '赵柳燕', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30623680'}]",2020-11-12 15:31:14,2019-05-15 12:24:24,0.1330,2,0,1,0,68,0,10,"{'show': '暂停购买', 'canbuy': None}",债券型,/(11-11),0.01
4980,003547,鹏华丰禄债券,80000230,鹏华丰禄债券,鹏华丰禄债券型证券投资基金,phjjglyxgs,中低风险,A,1,x1001,x2003,x3003,,0,0.0000,0.0000,0.0000,-0.0002,0.0000,1.0482,1.0482,2020-11-11,0,5.00,-0.0002,0.0049,0.0126,0.0742,0.0611,0.0162,0.2349,0.0000,0.0000,0.0080,0.0010,0.0000,0.0150,0.0015,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,0000-00-00 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '刘涛', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30416563'}]",2020-11-12 15:11:31,2020-08-07 10:26:41,0.2755,1,0,1,0,06,0,10,"{'show': '暂停购买', 'canbuy': None}",债券型,/(11-11),0.01
