id,fund_code,fund_name,company_id,fund_short_name,fund_legal_name,fund_pinyin,fund_risk_level,share_type,fund_type,type1_id,type2_id,type3_id,help_type4_id,is_money_fund,hf_incomeratio,income,incomeratio,incomeratio_t001,incomeratio_s010,netvalue,total_netvalue,navdate,fund_state,min_share,day_incratio,month_incratio,quarter_incratio,year_incratio,this_year_incratio,half_year_incratio,three_year_incratio,feerate1,sina_feerate1,feerate2,sina_feerate2,discountrate2,feerate3,sina_feerate3,dayinc,subscribe_state,declare_state,withdraw_state,valuagr_state,trend_state,hopedeclare_state,declareend_day,redeemend_day,open_day,is_forbidbuybyredeem,trans_flag,fundsub_type,subscribe_beigin,sina_subscribe_beigin,help_sina_subscribe_beigin,sina_subscribe_end,subscribe_end,zjzfe,fund_scale,fund_manager,u_time,c_time,to_this_day_incratio,l_day,forbidbonustype,status,qdii_confirm_day,ta_code,min_value1,min_value2,can_buy,type2_id_desc,jz_and_sy,min_value
5009,010122,华泰柏瑞优势领航混合A,80055334,华泰柏瑞优势领航混合A,华泰柏瑞优势领航混合型证券投资基金,htbrjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4001,0,0.0000,0.0000,0.0000,0.0065,0.0000,1.0001,1.0001,2020-11-06,4,1.00,0.0065,-0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0120,0.0120,0.0150,0.0015,0.0000,0.0150,0.0015,1.0000,0,0,0,0,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,2020-09-09,2020-09-09 00:00:00,0000-00-00 00:00:00,2020-09-21 00:00:00,2020-09-21,99999999.9999,,"[{'name': '沈雪峰', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30037628'}]",2020-11-12 15:30:28,2020-09-08 09:22:22,0.0001,2,0,1,0,46,10,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-06),10.00
5007,010114,华宝新兴成长混合,80000250,华宝新兴成长混合,华宝新兴成长混合型证券投资基金,hbjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4001,0,0.0000,0.0000,0.0000,0.0300,0.0000,1.0184,1.0184,2020-11-06,4,1.00,0.0300,0.0158,0.0000,0.0000,0.0000,0.0000,0.0000,0.0120,0.0120,0.0150,0.0015,0.0000,0.0150,0.0015,1.0000,0,0,0,0,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,2020-09-17,2020-09-17 00:00:00,0000-00-00 00:00:00,2020-09-22 00:00:00,2020-09-22,99999999.9999,,"[{'name': '代云锋', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30518658'}]",2020-11-12 15:30:26,2020-09-08 09:22:21,0.0184,2,0,1,0,24,10,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-06),10.00
5014,010107,华夏核心科技6个月定开混合C,80000222,华夏核心科技6个月定开混合C,华夏核心科技6个月定期开放混合型证券投资基金,hxjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4001,0,0.0000,0.0000,0.0000,0.0305,0.0000,1.0211,1.0211,2020-11-06,9,1.00,0.0305,0.0212,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,0.0015,1.0000,0,0,0,0,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,2020-09-14,2020-09-14 00:00:00,0000-00-00 00:00:00,2020-09-28 00:00:00,2020-09-28,99999999.9999,,"[{'name': '周克平', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30580799'}]",2020-11-12 15:07:56,2020-09-10 09:25:06,0.0211,2,0,1,0,03,10,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-06),10.00
5013,010106,华夏核心科技6个月定开混合A,80000222,华夏核心科技6个月定开混合A,华夏核心科技6个月定期开放混合型证券投资基金,hxjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4001,0,0.0000,0.0000,0.0000,0.0306,0.0000,1.0220,1.0220,2020-11-06,9,1.00,0.0306,0.0219,0.0000,0.0000,0.0000,0.0000,0.0000,0.0120,0.0120,0.0150,0.0015,0.0000,0.0150,0.0015,1.0000,0,0,0,0,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,2020-09-14,2020-09-14 00:00:00,0000-00-00 00:00:00,2020-09-28 00:00:00,2020-09-28,99999999.9999,,"[{'name': '周克平', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30580799'}]",2020-11-12 15:07:55,2020-09-10 09:25:05,0.0220,2,0,1,0,03,10,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-06),10.00
5018,010105,景顺长城消费精选混合C,80000251,景顺长城消费精选混合C,景顺长城消费精选混合型证券投资基金,jsccjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4001,0,0.0000,0.0000,0.0000,0.0033,0.0000,0.9989,0.9989,2020-11-06,4,1.00,0.0033,-0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,0.0015,1.0000,0,0,0,0,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,2020-09-21,2020-09-21 00:00:00,0000-00-00 00:00:00,2020-09-22 00:00:00,2020-09-22,99999999.9999,,"[{'name': '邓敬东', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30130646'}, {'name': '刘苏', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30142282'}]",2020-11-12 15:30:35,2020-09-11 10:22:14,-0.0011,3,0,1,0,26,10,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-06),10.00
5017,010104,景顺长城消费精选混合A,80000251,景顺长城消费精选混合A,景顺长城消费精选混合型证券投资基金,jsccjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4001,0,0.0000,0.0000,0.0000,0.0034,0.0000,0.9994,0.9994,2020-11-06,4,1.00,0.0034,-0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0120,0.0120,0.0150,0.0015,0.0000,0.0150,0.0015,1.0000,0,0,0,0,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,2020-09-21,2020-09-21 00:00:00,0000-00-00 00:00:00,2020-09-22 00:00:00,2020-09-22,99999999.9999,,"[{'name': '刘苏', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30142282'}, {'name': '邓敬东', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30130646'}]",2020-11-12 15:30:34,2020-09-11 10:22:14,-0.0006,3,0,1,0,26,10,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-06),10.00
5094,010101,创金合信鼎诚3个月定开混合C,80461121,创金合信鼎诚3个月定开混合C,创金合信鼎诚3个月定期开放混合型证券投资基金,cjhxjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4001,0,0.0000,0.0000,0.0000,0.0143,0.0000,1.0156,1.0156,2020-11-06,4,0.01,0.0143,0.0192,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,0.0015,0.0000,0.0000,0.0000,1.0000,0,0,0,0,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,0000-00-00 00:00:00,2020-11-13 00:00:00,2020-11-13,3764.3400,,"[{'name': '黄弢', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30658258'}, {'name': '吕沂洋', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30630149'}]",2020-11-12 15:15:06,2020-11-06 09:45:49,0.0156,1,0,1,0,3M,0,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-06),0.01
5093,010100,创金合信鼎诚3个月定开混合,80461121,创金合信鼎诚3个月定开混合,创金合信鼎诚3个月定期开放混合型证券投资基金,cjhxjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4001,0,0.0000,0.0000,0.0000,0.0144,0.0000,1.0162,1.0162,2020-11-06,4,0.01,0.0144,0.0196,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0120,0.0012,0.0000,0.0120,0.0012,1.0000,0,0,0,0,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,0000-00-00 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '黄弢', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30658258'}, {'name': '吕沂洋', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30630149'}]",2020-11-12 15:15:03,2020-11-06 09:45:48,0.0162,1,0,1,0,3M,0,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-06),0.01
5073,010035,平安高等级债E,80168726,平安高等级债E,平安高等级债债券型证券投资基金,pajjglyxgs,中低风险,A,1,x1001,x2003,x3003,,0,0.0000,0.0000,0.0000,-0.0002,0.0000,1.0397,1.0397,2020-11-11,0,1.00,-0.0002,0.0028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,0.0015,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,0000-00-00 00:00:00,2020-11-13 00:00:00,2020-11-13,647.6800,,"[{'name': '段玮婧', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30192111'}]",2020-11-12 15:14:10,2020-10-20 09:29:35,0.0064,2,0,1,0,70,0,10,"{'show': '暂停购买', 'canbuy': None}",债券型,/(11-11),0.01
5003,010034,安信成长精选混合C,80163340,安信成长精选混合C,安信成长精选混合型证券投资基金,axjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4001,0,0.0000,0.0000,0.0000,0.0049,0.0000,1.0060,1.0060,2020-11-06,4,1.00,0.0049,0.0059,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,0.0015,1.0000,0,0,0,0,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,2020-09-04,2020-09-04 00:00:00,0000-00-00 00:00:00,2020-09-25 00:00:00,2020-09-25,99999999.9999,,"[{'name': '陈鹏', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30040926'}]",2020-11-12 15:14:06,2020-08-27 09:31:06,0.0060,3,0,1,0,75,10,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-06),10.00
